,Organism ,Order ,Family ,Genus 
80,Bos indicus ,Artiodactyla ,Bovidae ,Bos 
81,Bos mutus ,Artiodactyla ,Bovidae ,Bos 
82,Bos taurus ,Artiodactyla ,Bovidae ,Bos 
83,Bubalus bubalis ,Artiodactyla ,Bovidae ,Bubalus 
84,Callithrix jacchus ,Primates ,Callitrichidae ,Callithrix 
85,Callorhinus ursinus ,Carnivora ,Otariidae ,Callorhinus 
86,Camelus bactrianus ,Artiodactyla ,Camelidae ,Camelus 
87,Camelus dromedarius ,Artiodactyla ,Camelidae ,Camelus 
88,Camelus ferus ,Artiodactyla ,Camelidae ,Camelus 
89,Canis lupus familiaris ,Carnivora ,Canidae ,Canis 
90,Capra hircus ,Artiodactyla ,Bovidae ,Capra 
91,Carlito syrichta ,Primates ,Tarsiidae ,Carlito 
92,Castor canadensis ,Rodentia ,Castoridae ,Castor 
93,Cavia porcellus ,Rodentia ,Caviidae ,Cavia 
94,Cebus imitator ,Primates ,Cebidae ,Cebus 
95,Ceratotherium simum ,Perissodactyla ,Rhinocerotidae ,Ceratotherium 
96,Cercocebus atys ,Primates ,Cercopithecidae ,Cercocebus 
97,Cervus canadensis ,Artiodactyla ,Cervidae ,Cervus 
98,Cervus elaphus ,Artiodactyla ,Cervidae ,Cervus 
99,Chinchilla lanigera ,Rodentia ,Chinchillidae ,Chinchilla 
100,Chlorocebus sabaeus ,Primates ,Cercopithecidae ,Chlorocebus 
101,Choloepus didactylus ,Pilosa ,Choloepodidae ,Choloepus 
102,Chrysochloris asiatica ,Afrosoricida ,Chrysochloridae ,Chrysochloris 
103,Condylura cristata ,Eulipotyphla ,Talpidae ,Condylura 
104,Cricetulus griseus ,Rodentia ,Cricetidae ,Cricetulus 
105,Dasypus novemcinctus ,Cingulata ,Dasypodidae ,Dasypus 
106,Delphinapterus leucas ,Artiodactyla ,Monodontidae ,Delphinapterus 
107,Desmodus rotundus ,Chiroptera ,Phyllostomidae ,Desmodus 
108,Dipodomys spectabilis ,Rodentia ,Heteromyidae ,Dipodomys 
109,Dromiciops gliroides ,Microbiotheria ,Microbiotheriidae ,Dromiciops 
110,Echinops telfairi ,Afrosoricida ,Tenrecidae ,Echinops 
111,Elephantulus edwardii ,Macroscelidea ,Macroscelididae ,Elephantulus 
112,Enhydra lutris ,Carnivora ,Mustelidae ,Enhydra 
113,Equus asinus ,Perissodactyla ,Equidae ,Equus 
114,Equus caballus ,Perissodactyla ,Equidae ,Equus 
115,Erinaceus europaeus ,Eulipotyphla ,Erinaceidae ,Erinaceus 
116,Eumetopias jubatus ,Carnivora ,Otariidae ,Eumetopias 
117,Felis catus ,Carnivora ,Felidae ,Felis 
118,Fukomys damarensis ,Rodentia ,Bathyergidae ,Fukomys 
119,Galeopterus variegatus ,Dermoptera ,Cynocephalidae ,Galeopterus 
120,Globicephala melas ,Artiodactyla ,Delphinidae ,Globicephala 
121,Gorilla gorilla ,Primates ,Hominidae ,Gorilla 
122,Gracilinanus agilis ,Didelphimorphia ,Didelphidae ,Gracilinanus 
123,Grammomys surdaster ,Rodentia ,Muridae ,Grammomys 
124,Halichoerus grypus ,Carnivora ,Phocidae ,Halichoerus 
125,Heterocephalus glaber ,Rodentia ,Bathyergidae ,Heterocephalus 
126,Hipposideros armiger ,Chiroptera ,Hipposideridae ,Hipposideros 
127,Hyaena hyaena ,Carnivora ,Hyaenidae ,Hyaena 
128,Ictidomys tridecemlineatus ,Rodentia ,Sciuridae ,Ictidomys 
129,Jaculus jaculus ,Rodentia ,Dipodidae ,Jaculus 
130,Lagenorhynchus obliquidens ,Artiodactyla ,Delphinidae ,Lagenorhynchus 
131,Leptonychotes weddellii ,Carnivora ,Phocidae ,Leptonychotes 
132,Lipotes vexillifer ,Artiodactyla ,Lipotidae ,Lipotes 
133,Lontra canadensis ,Carnivora ,Mustelidae ,Lontra 
134,Loxodonta africana ,Proboscidea ,Elephantidae ,Loxodonta 
135,Lynx canadensis ,Carnivora ,Felidae ,Lynx 
136,Macaca fascicularis ,Primates ,Cercopithecidae ,Macaca 
137,Macaca mulatta ,Primates ,Cercopithecidae ,Macaca 
138,Macaca nemestrina ,Primates ,Cercopithecidae ,Macaca 
139,Mandrillus leucophaeus ,Primates ,Cercopithecidae ,Mandrillus 
140,Manis javanica ,Pholidota ,Manidae ,Manis 
141,Manis pentadactyla ,Pholidota ,Manidae ,Manis 
142,Marmota flaviventris ,Rodentia ,Sciuridae ,Marmota 
143,Mastomys coucha ,Rodentia ,Muridae ,Mastomys 
144,Nycticebus coucang ,Primates ,Lorisidae ,Nycticebus 
145,Pongo pygmaeus ,Primates ,Hominidae ,Pongo 
146,Muntiacus reevesi ,Artiodactyla ,Cervidae ,Muntiacus 
147,Symphalangus syndactylus ,Primates ,Hylobatidae ,Symphalangus 
148,Nyctereutes procyonoides ,Carnivora ,Canidae ,Nyctereutes 
149,Moschus berezovskii ,Artiodactyla ,Moschidae ,Moschus 
150,Psammomys obesus ,Rodentia ,Muridae ,Psammomys 
151,Hippopotamus amphibius ,Artiodactyla ,Hippopotamidae ,Hippopotamus 
152,Diceros bicornis ,Perissodactyla ,Rhinocerotidae ,Diceros
153,Chionomys nivalis ,Rodentia ,Cricetidae ,Chionomys 
154,Kogia breviceps ,Cetacea ,Kogiidae ,Kogia 
155,Mustela lutreola ,Carnivora ,Mustelidae ,Mustela 
156,Peromyscus eremicus ,Rodentia ,Cricetidae ,Peromyscus 
157,Mustela nigripes ,Carnivora ,Mustelidae ,Mustela 
158,Trichosurus vulpecula ,Diprotodontia ,Phalangeridae ,Trichosurus 
159,Pteropus alecto ,Chiroptera ,Pteropodidae ,Pteropus 
160,Propithecus coquereli ,Primates ,Indriidae ,Propithecus 
161,Suricata suricatta ,Carnivora ,Herpestidae ,Suricata 
162,Rhinopithecus bieti ,Primates ,Cercopithecidae ,Rhinopithecus
163,Panthera pardus ,Carnivora ,Felidae ,Panthera 
164,Rousettus aegyptiacus ,Chiroptera ,Pteropodidae ,Rousettus 
165,Phoca vitulina ,Carnivora ,Phocidae ,Phoca 
166,Tachyglossus aculeatus ,Monotremata ,Tachyglossidae ,Tachyglossus 
167,Vulpes vulpes ,Carnivora ,Canidae ,Vulpes 
168,Phyllostomus discolor ,Chiroptera ,Phyllostomidae ,Phyllostomus 
169,Saimiri boliviensis ,Primates ,Cebidae ,Saimiri 
170,Physeter catodon ,Cetartiodactyla ,Physeteridae ,Physeter 
171,Rattus norvegicus ,Rodentia ,Muridae ,Rattus 
172,Sus scrofa ,Artiodactyla ,Suidae ,Sus
173,Zalophus californianus ,Carnivora ,Otariidae ,Zalophus 
174,Vombatus ursinus ,Diprotodontia ,Vombatidae ,Vombatus 
175,Tursiops truncatus ,Artiodactyla ,Delphinidae ,Tursiops 
176,Odobenus rosmarus ,Carnivora ,Odobenidae ,Odobenus 
177,Papio anubis ,Primates ,Cercopithecidae ,Papio 
178,Talpa occidentalis ,Eulipotyphla ,Talpidae ,Talpa 
179,Rattus rattus ,Rodentia ,Muridae ,Rattus 
180,Ochotona curzoniae ,Lagomorpha ,Ochotonidae ,Ochotona 
181,Orycteropus afer ,Tubulidentata ,Orycteropodidae ,Orycteropus 
182,Pteropus vampyrus ,Chiroptera ,Pteropodidae ,Pteropus
183,Orcinus orca ,Cetartiodactyla ,Delphinidae ,Orcinus 
184,Sorex araneus ,Eulipotyphla ,Soricidae ,Sorex 
185,Phocoena sinus ,Cetartiodactyla ,Phocoenidae ,Phocoena 
186,Vicugna pacos ,Artiodactyla ,Camelidae ,Vicugna 
187,Vulpes lagopus ,Carnivora ,Canidae ,Vulpes 
188,Urocitellus parryii ,Rodentia ,Sciuridae ,Urocitellus
189,Ochotona princeps ,Lagomorpha ,Ochotonidae ,Ochotona 
190,Octodon degus ,Rodentia ,Octodontidae ,Octodon 
